Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Traditional Strength Training,2023-01-21 08:49,2023-01-21 09:05,00:15:39,117.7,75.26,119,98.5,,,350,0.373,,,,,
Traditional Strength Training,2023-01-21 06:26,2023-01-21 07:02,00:36:10,264.9,194.85,142,98.2,,,348,0.16,,,,,
Walking,2023-01-20 10:32,2023-01-20 10:42,00:10:49,87,51.43,88,78.25,0.491,2.72,609,0.938,,,,,
Traditional Strength Training,2023-01-19 06:49,2023-01-19 08:16,01:26:49,628.75,487.54,153,101.73,,,1317,0.253,,,,,
Walking,2023-01-18 10:16,2023-01-18 10:46,00:30:00,400.07,344,166,127.43,2.16,4.32,3721,2.07,,,6.0,,
Traditional Strength Training,2023-01-17 05:31,2023-01-17 06:27,00:55:46,527.2,405.86,161,114.59,,,886,0.265,,,,,
Traditional Strength Training,2023-01-16 06:23,2023-01-16 07:14,00:51:50,373.31,264.88,153,98.13,,,536,0.172,,,,,
Traditional Strength Training,2023-01-15 10:34,2023-01-15 11:16,00:42:15,350.8,261.31,150,108.19,,,1195,0.471,,,,,
Traditional Strength Training,2023-01-12 11:14,2023-01-12 12:40,01:26:27,619.54,458.68,149,99.56,,,998,0.192,,,,,
Running,2023-01-11 12:39,2023-01-11 12:49,00:10:00,158.9,119,172,136.57,0.54,3.24,347,0.578,,,,,
Running,2023-01-11 12:16,2023-01-11 12:36,00:20:00,297.76,261,174,140.87,1.62,4.86,1255,1.05,,,11.0,,
Traditional Strength Training,2023-01-10 06:47,2023-01-10 07:43,00:56:24,472.29,357.73,150,103.24,,,953,0.282,,,,,
Traditional Strength Training,2023-01-09 06:13,2023-01-09 07:18,01:04:44,579.9,447.04,154,112.13,,,1306,0.336,,,,,
Cycling,2023-01-08 16:59,2023-01-08 17:09,00:10:01,131.93,90,129,113.98,2.72,16.29,30,0.05,,,,,
Cycling,2023-01-08 12:07,2023-01-08 12:27,00:20:03,233.68,173,134,112.81,5.75,17.21,76,0.063,,,,,
Traditional Strength Training,2023-01-07 10:20,2023-01-07 11:09,00:49:07,392.48,294.51,158,104.69,,,844,0.286,,,,,
Cycling,2023-01-05 18:11,2023-01-05 18:26,00:15:00,226.58,177,170,133.61,4.38,17.52,72,0.08,,,,,
Traditional Strength Training,2023-01-05 14:17,2023-01-05 15:19,01:01:58,480.16,354.75,148,103.47,,,1168,0.314,,,,,
Traditional Strength Training,2023-01-04 06:16,2023-01-04 07:08,00:51:53,338.17,252.43,132,94.3,,,1054,0.339,,,,,
Traditional Strength Training,2023-01-03 08:07,2023-01-03 08:55,00:48:24,347.35,235.45,123,94,,,661,0.228,,,,,
Cycling,2023-01-02 10:22,2023-01-02 10:52,00:30:00,452.54,374,171,138.04,8.5,17,77,0.043,,,,,
Yoga,2023-01-01 19:34,2023-01-01 19:45,00:10:22,70.66,51,104,87.96,,,,,,,,,
Cycling,2023-01-01 19:10,2023-01-01 19:30,00:20:00,236.26,192,143,120.16,5.34,16.02,62,0.052,,,,,
